uuid,name,criteria,evaluator,message,priority,enabled,tags,description
7376f82e-225c-4340-9a8d-22e679532f37,"Due for 1st Viral Load","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_audit_tool_art_patients mfatap on p.patient_id = mfatap.client_id LEFT JOIN mamba_fact_patients_latest_viral_load mfplvl ON mfatap.client_id = mfplvl.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfatap.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfatap.client_id = mfplvlo.client_id WHERE (CURRENT_DATE() BETWEEN DATE_ADD(baseline_regimen_start_date, INTERVAL 5 MONTH) AND DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH)) AND dead=false AND mfplvl.client_id is NULL AND mfto.client_id is NULL AND mfplvlo.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for 1st Viral on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are due for their first viral load after enrollment into HIV Care"
6ce583d1-a4d7-41a6-902f-9a5debea1ec7,"Overdue for First Viral Load","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_audit_tool_art_patients mfatap on p.patient_id = mfatap.client_id LEFT JOIN mamba_fact_patients_latest_viral_load mfplvl ON mfatap.client_id = mfplvl.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfatap.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfatap.client_id = mfplvlo.client_id WHERE CURRENT_DATE() >= DATE_ADD(baseline_regimen_start_date, INTERVAL 6 MONTH) AND dead=false AND mfplvl.client_id is NULL AND mfto.client_id is NULL AND mfplvlo.client_id is NULL AND TIMESTAMPDIFF(YEAR ,baseline_regimen_start_date,CURDATE())< 1",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"First Viral Load Overdue from ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are overdue for their first viral load after enrollment into HIV Care"
424cda04-c1ec-4c57-99ca-6c443d48fe6b,"Bled for Viral load","SELECT p.patient_id,DATE_FORMAT(order_date,'%d.%b.%Y') FROM patient p inner join mamba_fact_patients_latest_viral_load_ordered mfplvlo on p.patient_id=mfplvlo.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvlo.client_id = mfap.client_id WHERE dead= FALSE and TIMESTAMPDIFF(MONTH,order_date,CURDATE()) <=1",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Patient was bled for viral load on ${1} awaiting results",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have been bled for viral load and awaiting results"
5bc66261-7ad6-4c66-97d9-eb3c511a9274,"Due for Routine Viral Load","SELECT p.patient_id, DATE_FORMAT(IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 12 MONTH)), '%d.%b.%Y') FROM patient p inner join mamba_fact_patients_latest_viral_load mfplvl on p.patient_id = mfplvl.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvl.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfplvl.client_id = mfto.client_id LEFT JOIN mamba_fact_transfer_in mfti ON mfti.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfplvl.client_id = mfplvlo.client_id WHERE mfap.dead = FALSE AND (mfti.client_id IS NULL OR mfti.transfer_in_date > mfto.transfer_out_date) AND (mfplvlo.client_id IS NULL OR TIMESTAMPDIFF(MONTH,order_date,CURDATE()) >=2) AND DATEDIFF(IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(hiv_viral_collection_date, INTERVAL 12 MONTH)),CURDATE()) BETWEEN 0 AND 30",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for Routine Viral Load on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are due for their routine viral load"
ffa7a845-bcdd-4727-a68a-3badb8c09692,"Overdue for Routine Viral Load","SELECT p.patient_id, DATE_FORMAT(IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(mfplvl.hiv_viral_collection_date, INTERVAL 12 MONTH)), '%d.%b.%Y') FROM patient p inner join mamba_fact_patients_latest_viral_load mfplvl on p.patient_id =mfplvl.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvl.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfplvl.client_id = mfto.client_id LEFT JOIN mamba_fact_transfer_in mfti ON mfti.client_id = mfto.client_id LEFT JOIN mamba_fact_patients_latest_viral_load_ordered mfplvlo ON mfplvl.client_id = mfplvlo.client_id WHERE mfap.dead = FALSE AND mfplvl.hiv_viral_collection_date IS NOT NULL AND (mfti.client_id IS NULL OR mfti.transfer_in_date > mfto.transfer_out_date) AND (mfplvlo.client_id IS NULL OR TIMESTAMPDIFF(MONTH,order_date,CURDATE()) >=2) AND CURRENT_DATE() >IF(TIMESTAMPDIFF(YEAR, birthdate, CURDATE()) < 16, DATE_ADD(hiv_viral_collection_date, INTERVAL 6 MONTH), DATE_ADD(hiv_viral_collection_date, INTERVAL 12 MONTH))",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Overdue for Routine Viral Load from ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are overdue for their routine viral load"
1cbc86cf-8a5a-4402-b56a-6489aa4d4f2d,"Upcoming appointment","SELECT p.patient_id, DATE_FORMAT(latest_return_date, '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on p.patient_id = mfac.client_id WHERE dead = FALSE AND transfer_out_date IS NULL AND latest_return_date >= CURRENT_DATE()",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Upcoming appointment on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have an upcoming appointment"
a248d8ca-9e60-4a54-a417-fcf00302fdb2,"Missed appointment","SELECT p.patient_id, DATE_FORMAT(latest_return_date, '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on p.patient_id = mfac.client_id WHERE dead = FALSE AND days_left_to_be_lost BETWEEN 7 AND 27 AND transfer_out_date IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Missed appointment on ${1}",orange,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have missed appointment - this is between 7 to 29 days"
4d10da66-1ede-4a92-aa71-a8dedb13a0ba,"Lost","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(latest_return_date, INTERVAL 28 DAY), '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on mfac.client_id = p.patient_id WHERE dead = FALSE AND days_left_to_be_lost  BETWEEN 28 AND 89 AND transfer_out_date IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Lost since ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have missed appointment - this is between 30 to 89 days"
5a1f8283-9d5a-4efe-89a3-5634e01c8083,"Lost to Followup","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(latest_return_date, INTERVAL 90 DAY), '%d.%b.%Y') FROM patient p inner join mamba_fact_active_in_care mfac on p.patient_id = mfac.client_id WHERE dead = FALSE AND days_left_to_be_lost >= 90 AND transfer_out_date IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Lost to follow-up since ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who have spent more than 90 days since their expected return date"
e8141fdf-4359-461d-840a-216442d45392,"Due for 1st DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 6 WEEK), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(WEEK, eid_dob, CURDATE()) BETWEEN 6 AND 9) AND mfap.client_id is NULL AND `1ST_PCR_DATE` is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for 1st DNA PCR on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are due for their first DNA PCR, between 6 to 9 weeks"
162e4459-24b9-4a0e-ae10-08413d48aecb,"Overdue for 1st DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 6 WEEK), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(WEEK, eid_dob, CURDATE()) BETWEEN 10 AND 24) AND mfap.client_id is NULL AND `1ST_PCR_DATE` is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Overdue for 1st DNA PCR from ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are overdue for their first DNA PCR who are aged between 10 to 24 weeks"
4e0527ed-1a5f-4c83-b372-031829eb334b,"Due for 2nd DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 9 WEEK), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(WEEK, eid_dob, CURDATE()) BETWEEN 9 AND 10) AND mfap.client_id is NULL AND `2ND_PCR_DATE` is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for 2nd DNA PCR on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are due for their second DNA PCR aged between 13 and 14 months"
356357b4-c285-4a92-82b2-ddcfe6cdf3f4,"Overdue for 2nd DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 9 WEEK), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(WEEK, eid_dob, CURDATE()) BETWEEN 11 AND 13) AND mfap.client_id is NULL AND `2ND_PCR_DATE` is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Overdue for 2nd DNA PCR from ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are overdue for their second DNA PCR who are between 15 and 17 months since Rapid Test is due at 18 months"
636a9bd2-9f13-45ca-886b-9380a9599655,"Due for 3rd DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 13 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(MONTH, eid_dob, CURDATE()) BETWEEN 13 AND 14) AND mfap.client_id is NULL AND repeat_pcr_date is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for 3rd DNA PCR on ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are due for their third DNA PCR aged between 13 and 14 months"
65f4da17-5fa3-497e-848f-cc515b69ff81,"OverDue for 3rd DNA PCR","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 13 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id =mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(MONTH, eid_dob, CURDATE()) BETWEEN 15 AND 17) AND mfap.client_id is NULL AND repeat_pcr_date is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"OverDue for 3rd DNA PCR on ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are overdue for their third DNA PCR, 6 weeks after breastfeeding and having taken a 2nd DNA PCR"
f3fb9704-5460-4041-9e77-6d5e9e34c202,"Due for Rapid Test","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 18 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(MONTH, eid_dob, CURDATE()) BETWEEN 18 AND 19) AND mfap.client_id is NULL AND rapid_pcr_date is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Due for Rapid Test from ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are due for an 18 month rapid test"
d144893e-b17b-4b77-916e-d3d2b3733378,"Overdue for Rapid Test","SELECT p.patient_id, DATE_FORMAT(DATE_ADD(eid_dob, INTERVAL 18 MONTH), '%d.%b.%Y') FROM patient p inner join mamba_fact_eid_patients mfep on p.patient_id = mfep.client_id INNER JOIN mamba_dim_person mdp ON mfep.client_id = mdp.person_id LEFT JOIN mamba_fact_art_patients mfap ON mfep.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto on mfto.client_id = mfep.client_id WHERE mdp.dead = FALSE AND (TIMESTAMPDIFF(MONTH, eid_dob, CURDATE()) BETWEEN 20 AND 24) AND mfap.client_id is NULL AND rapid_pcr_date is NULL AND mfto.client_id is NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Overdue for Rapid Test from ${1}",green,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Exposed infants who are overdue for an 18 month rapid test but not older than 24 months by which a final outcome is expected"
151801e2-0742-457f-8610-95530a4db232,"Un-supressed Viral Load","SELECT p.patient_id, hiv_viral_load_copies, DATE_FORMAT(mfplvl.encounter_date, '%d. %b. %Y'), specimen_type FROM patient p inner join mamba_fact_patients_latest_viral_load mfplvl on p.patient_id = mfplvl.client_id INNER JOIN mamba_fact_art_patients mfap ON mfplvl.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_out mfto ON mfto.client_id = mfplvl.client_id WHERE (hiv_viral_load_copies>=1000) OR (specimen_type='WHOLE BLOOD' and hiv_viral_load_copies >200) OR (specimen_type='Dried Blood Spot' and hiv_viral_load_copies >400) AND dead = FALSE AND mfto.client_id IS NULL",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Detectable Viral Load of ${1} from ${2} may be due for IAC",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are have un-supressed viral load"
c5cae7e7-d6e3-4d5f-b684-ea888b5a8a7c,"Transfered Out Patient","SELECT p.patient_id, transfer_out_date FROM patient p inner join mamba_fact_transfer_out mfto on p.patient_id =mfto.client_id INNER JOIN mamba_fact_art_patients mfap ON mfap.client_id = mfap.client_id LEFT JOIN mamba_fact_transfer_in mfti on mfti.client_id = mfto.client_id where dead=false and (mfti.client_id is NULL or mfti.transfer_in_date > mfto.transfer_out_date)",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"Patient Transfered Out on ${1}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Patients who are transfered Out to Another Facility"
8311e3eb-d87d-40f2-a35f-dd60f1782ddd,"Monkey POX Patient","SELECT DISTINCT p.patient_id, obs.value_coded, CASE WHEN obs.value_coded = 166313 THEN 'Transferred to Isolation Unit' WHEN obs.value_coded = 168758 THEN 'Referred to Isolation Unit' ELSE cn.name END AS value_coded_text, DATE_FORMAT(obs.date_created,'%d. %b. %Y') AS formatted_date FROM obs INNER JOIN patient p ON p.patient_id = obs.person_id INNER JOIN concept_name cn ON obs.value_coded = cn.concept_id WHERE obs.concept_id = 198959",org.openmrs.module.patientflags.evaluator.SqlFlagEvaluator,"MPOX Suspect ${2} on ${3}",red,true,58199ad1-aecb-40f5-90b0-767982ff3e72,"Monkey POX Patient"